ProductType,Colour,Usage,ProductTitle,ImageURL,Rating,Price
Skirts,Pink,Casual,Gini and Jony Girls Pink Skirt,http://assets.myntassets.com/v1/images/style/properties/167c8880c4c77718ac8e2ecdf57e619c_images.jpg,3.1,2201
Shorts,Blue,Casual,Gini and Jony Girls Woven Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/4882420c3607228a30540b5b99aba1d4_images.jpg,4.8,1474
Tshirts,Green,Casual,Doodle Girl's Princess Lime Kidswear,http://assets.myntassets.com/v1/images/style/properties/3877b9da648c16c969b043643426be71_images.jpg,3.5,2875
Shorts,Green,Casual,Gini and Jony Girls Green Shorts,http://assets.myntassets.com/v1/images/style/properties/7ed1ca17fdfdefdd6320156fe7ea7292_images.jpg,4.3,2827
Dresses,Blue,Casual,Doodle Girls Blue Washed Dress,http://assets.myntassets.com/v1/images/style/properties/8f184224331047aa5fc5b0041b04dc53_images.jpg,4.2,3983
Skirts,Pink,Casual,Gini and Jony Girls Pink Skirt,http://assets.myntassets.com/v1/images/style/properties/4e26ee06c517e6f227ca6af3653f0f6b_images.jpg,4.3,4187
Skirts,Blue,Casual,United Colors of Benetton Kids Girls Washed Blue Skirt,http://assets.myntassets.com/v1/images/style/properties/552488b55aa1c615f830fd043f570d15_images.jpg,3.6,1727
Dresses,Black,Casual,Gini and Jony Girls Black Dress,http://assets.myntassets.com/v1/images/style/properties/f7b69b3f5edf05058f33e21ebe87275f_images.jpg,4.7,1356
Tops,White,Casual,Gini and Jony Girls Printed White Top,http://assets.myntassets.com/v1/images/style/properties/1a925d00403aaec9fb6aa68e6795bf22_images.jpg,3.6,1106
Tops,Grey,Casual,Doodle Girls Printed Grey Top,http://assets.myntassets.com/v1/images/style/properties/139e4ecbd8fc116fd275528d755d55bf_images.jpg,4.9,2857
Tshirts,Yellow,Casual,Doodle Girl's Dont Worry Hippie Yellow Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/7918b015029fad3d8108d7f07a5867e2_images.jpg,3.2,3780
Capris,Blue,Casual,Gini and Jony Girls Blue Capris,http://assets.myntassets.com/v1/images/style/properties/fc46e80450a58114f02060a2cbbca0aa_images.jpg,3.1,3301
Jeans,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/da1db8f5cb461e5eb02172804792e598_images.jpg,3.7,1371
Tshirts,Orange,Casual,Doodle Girl's Hippie Chic Orange Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/68540a8389d1a4a474037492a3e8cf15_images.jpg,3.4,1688
Tshirts,Purple,Casual,Madagascar3 Girls Purple Printed T-Shirt,http://assets.myntassets.com/v1/images/style/properties/7f4dd2f3bd1ade35ab96afabf9d55558_images.jpg,4.2,1329
Leggings,White,Casual,Gini and Jony Kids Leggings,http://assets.myntassets.com/v1/images/style/properties/Gini-and-Jony-Kids-Leggings_35bdb4375745e793689def76857d3950_images.jpg,3.5,1545
Tops,Red,Casual,Gini and Jony Girls Red Top,http://assets.myntassets.com/v1/images/style/properties/2b8a45322790bea5db64fc46b8d93f8f_images.jpg,4.0,2728
Dresses,Pink,Casual,Gini and Jony Girls Printed Pink Dress,http://assets.myntassets.com/v1/images/style/properties/6e4f3854eb7b77188e914ee94bce4758_images.jpg,4.3,4348
Tops,Orange,Casual,Gini and Jony Girls Roseatte Orange Top,http://assets.myntassets.com/v1/images/style/properties/90cf8ee58032dbda3bb4f048621eb015_images.jpg,4.4,1277
Tshirts,Blue,Casual,Doodle Girl's Raw Edges Light Blue Kidswear,http://assets.myntassets.com/v1/images/style/properties/52f6936ed0d2fa4736209c5a24e26081_images.jpg,3.8,1693
Leggings,Black,Casual,Gini and Jony Girls Black Leggings,http://assets.myntassets.com/v1/images/style/properties/359391f6a4b560ca2821952c86f2528d_images.jpg,4.8,935
Dresses,Blue,Casual,Gini and Jony Girls Printed Teal Dress,http://assets.myntassets.com/v1/images/style/properties/73bdd9b109c5648fb93b144ebc338f94_images.jpg,4.8,775
Tops,White,Casual,Gini and Jony Girls White Top,http://assets.myntassets.com/v1/images/style/properties/63e4f7008a21ad52e8e004ec132987dd_images.jpg,3.3,3148
Tshirts,White,Casual,Disney Kids Girl's Fun In The Fair White Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/e3cf45e69f2094c323a28af4369c903e_images.jpg,3.3,2947
Tops,Turquoise Blue,Casual,Kids Ville Girls Turquoise Blue Top,http://assets.myntassets.com/v1/images/style/properties/02012c4736e7a3cae2bab8857fa62b33_images.jpg,3.2,1700
Tops,White,Casual,Little Miss Girls Blah White Top,http://assets.myntassets.com/v1/images/style/properties/d3065a1272f7f6f77a002f5a640601d4_images.jpg,3.8,1234
Tops,Purple,Casual,Gini and Jony Girls Purple Top,http://assets.myntassets.com/v1/images/style/properties/5c2900e691bb0b900efbb994abaa3051_images.jpg,4.0,610
Tops,Navy Blue,Casual,Gini and Jony Girls Nautical Blues Navy Blue Top,http://assets.myntassets.com/v1/images/style/properties/4fac53e9b5424ee2f2b1654edefcf9f3_images.jpg,3.9,1473
Tops,Purple,Casual,Gini and Jony Girls Purple Top,http://assets.myntassets.com/v1/images/style/properties/78697e51fc64e69ef59fec8e4a98bb02_images.jpg,3.9,1600
Capris,Pink,Casual,Gini and Jony Girls Kinky Pink Capris,http://assets.myntassets.com/v1/images/style/properties/aeaa25e22521dccc8ba43a44b5bdbdb4_images.jpg,3.7,2628
Tops,Pink,Casual,Doodle Kids Girls Pink Retro Top,http://assets.myntassets.com/v1/images/style/properties/b222e8d07fb08047514b355c4f0d1659_images.jpg,3.9,4213
Dresses,White,Casual,Gini and Jony Girls White Dress,http://assets.myntassets.com/v1/images/style/properties/97c4ba68f6dd479533fd38fa8224ebf9_images.jpg,4.2,876
Tops,Pink,Casual,Gini and Jony Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/bdb2509ab5b31e6e6fde3f1f1e28f5bf_images.jpg,4.0,4123
Tops,Pink,Casual,Gini and Jony Girls Pretty Pink Top,http://assets.myntassets.com/v1/images/style/properties/bc025ebc8384d35559c6681c218a8760_images.jpg,4.0,4360
Tops,White,Casual,Gini and Jony Girls Woven White Top,http://assets.myntassets.com/v1/images/style/properties/b6aa4b14ce628ef9d3f2f4d981c2f6b9_images.jpg,3.0,1733
Tops,Black,Casual,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/5d35f521e49a9e78f991111b452d4929_images.jpg,3.9,4041
Tshirts,Pink,Casual,Disney Kids Girl's Summer Fun Fair Pink Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/07f7ac42151631746bc3632870a7bf7c_images.jpg,4.8,4381
Tops,Magenta,Casual,Gini and Jony Girls Purple Top,http://assets.myntassets.com/v1/images/style/properties/ae2aa3cbe84c23ad0f1b15b80b4e0f09_images.jpg,3.4,1838
Dresses,Pink,Casual,Gini and Jony Girls Printed Pink Dress,http://assets.myntassets.com/v1/images/style/properties/1c6f5c73e5094eedd4c405f6d9cb2e53_images.jpg,4.8,4106
Tops,White,Casual,Gini Jony Girls Printed White Top,http://assets.myntassets.com/v1/images/style/properties/8fbee590cae7931ee74d175775067100_images.jpg,3.6,1131
Leggings,Green,Casual,Gini and Jony Girls Green Leggings,http://assets.myntassets.com/v1/images/style/properties/03f85fe2045d6874c29c0818e6f5f57e_images.jpg,4.5,4065
Tshirts,Blue,Casual,Doodle Girl's Raw Edges Light Blue Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/3752756c42f6f2ba5704c4e5c9d36b17_images.jpg,3.5,2280
Skirts,Blue,Casual,Disney Kids Girl's Pooh Denim Blue Skirt,http://assets.myntassets.com/v1/images/style/properties/2f39ff6586be999bfe60e17d6d50db6a_images.jpg,4.4,917
Dresses,Blue,Casual,Gini and Jony Girls Printed Teal Dress,http://assets.myntassets.com/v1/images/style/properties/76fd72ef98204310e06206b9de234cdd_images.jpg,4.8,4364
Tops,Peach,Casual,Gini and Jony Girls Peach Top,http://assets.myntassets.com/v1/images/style/properties/da776219c71ecb6a3ba0c2a39d99689b_images.jpg,4.7,3405
Dresses,Pink,Casual,Doodle Girls Printed Pink Dress,http://assets.myntassets.com/v1/images/style/properties/f5b8cd2374234a263ca6bed01bbc9e9c_images.jpg,4.2,2837
Tshirts,Orange,Casual,Doodle Girl's Hippie Chic Orange Kidswear,http://assets.myntassets.com/v1/images/style/properties/243eae8f457007dd9639d4851cc38f10_images.jpg,3.6,3499
Jeans,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/953dfcc043c31b66c5b1be3b0778d8d8_images.jpg,4.2,4425
Tops,White,Casual,Gini Jony Girls Printed White Top,http://assets.myntassets.com/v1/images/style/properties/72a881c1cb0ea7f12131d1559fbc85a2_images.jpg,3.6,670
Tshirts,Blue,Casual,Gini and Jony Girls Polo Striped Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/b0637e9def43478657c0a9159d51ad43_images.jpg,3.2,746
Dresses,Black,Casual,Gini and Jony Girls Roseatte Black Dress,http://assets.myntassets.com/v1/images/style/properties/9df82c8db87a057d9bf7d90a02f24d7b_images.jpg,3.2,2781
Tshirts,Green,Casual,Doodle Girl's Princess Lime Green Top,http://assets.myntassets.com/v1/images/style/properties/946a16f582f37cca07c9e49f64438dec_images.jpg,3.8,4401
Shorts,Green,Casual,Gini and Jony Girls Green Shorts,http://assets.myntassets.com/v1/images/style/properties/092ffa40994ee79053f16a7e93445890_images.jpg,4.5,3890
Shorts,Blue,Casual,Gini and Jony  Girls Woven Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/04e0a096190c52c8e67b940bb6caf190_images.jpg,3.3,2350
Tops,Yellow,Casual,Gini and Jony Girls Yellow Top,http://assets.myntassets.com/v1/images/style/properties/2ad3ea22b139c15808ad70da68f51ef6_images.jpg,4.2,1827
Skirts,White,Casual,Gini & Jony Girls White Skirt,http://assets.myntassets.com/v1/images/style/properties/5a8136a2c5a4bbe86c2cf987981d5c29_images.jpg,4.4,1578
Dresses,Pink,Casual,Doodle Girls Pink Printed Dress,http://assets.myntassets.com/v1/images/style/properties/5aa2891f267718d2ab17591a1f9f449c_images.jpg,3.7,3650
Shorts,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/612a4966606770d0657b02429ca82cb1_images.jpg,3.1,1467
Tshirts,Purple,Casual,Doodle Girls's Princess Purple Teen Top,http://assets.myntassets.com/v1/images/style/properties/9d2498631ebf7972ec792f4683ad9462_images.jpg,3.3,1872
Shorts,Black,Casual,Doodle Girls Washed Black Shorts,http://assets.myntassets.com/v1/images/style/properties/54387763114186bb0ae86cacdd85ec4d_images.jpg,3.1,3874
Innerwear Vests,Pink,Casual,Madagascar3 Pink Girls Innerwear Vest,http://assets.myntassets.com/v1/images/style/properties/e8409f479400f77360e2a145e8bad0df_images.jpg,3.1,4372
Dresses,White,Casual,Ant Kids Girls Butterfly Print White Dresses,http://assets.myntassets.com/v1/images/style/properties/e7c8dbcaeed9fead6def6b01df0d9db6_images.jpg,3.6,2898
Tops,Blue,Casual,Gini and Jony Girls Printed Blue Top,http://assets.myntassets.com/v1/images/style/properties/ed49177a146c23c9cd89a119a8f986b8_images.jpg,3.2,1595
Innerwear Vests,Pink,Casual,Madagascar Girls Pink Innerwear Vest,http://assets.myntassets.com/v1/images/style/properties/9e74f65716e10bed59e87fc926b330e4_images.jpg,4.8,4047
Tops,White,Casual,Mr. Men Little Miss Girls White Top,http://assets.myntassets.com/v1/images/style/properties/be06f524c657558ce1e79871f64edcb6_images.jpg,4.0,1069
Tops,Green,Casual,Gini And Jony Girls Striped Green Top,http://assets.myntassets.com/v1/images/style/properties/81cc4b694585c8887b778e5800790159_images.jpg,4.6,3113
Rompers,White,Casual,Madagascar3 Infant Boys White Snapsuit Romper,http://assets.myntassets.com/v1/images/style/properties/6848fc75c01a98d99716e295d8230349_images.jpg,3.1,1288
Tops,Pink,Casual,United Colors of Benetton Kids Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/c1a5e415fd0e4f4945aa965729de43c1_images.jpg,3.7,4001
Dresses,Pink,Casual,Disney Kids Girl's Dress Pink Pooh Kidswear,http://assets.myntassets.com/v1/images/style/properties/b65078ba0112f107d024a4e3c028c38b_images.jpg,4.6,2436
Capris,Blue,Casual,Doodle Girls Washed Blue Capris,http://assets.myntassets.com/v1/images/style/properties/1d3a6c99b37c376b3ed37690c76986f6_images.jpg,3.8,3142
Tops,White,Casual,Gini and Jony Girls Printed White Top,http://assets.myntassets.com/v1/images/style/properties/8eec0347ac13be340a3a1abb22dd24d5_images.jpg,4.2,812
Tops,Pink,Casual,Chhota Bheem Kids Girls Are You Game Pink Top,http://assets.myntassets.com/v1/images/style/properties/69c7b7315ca4bc665b77aae1e65b6e6f_images.jpg,4.3,2041
Tops,White,Casual,United Colors of Benetton Kids Girls White Printed Top,http://assets.myntassets.com/v1/images/style/properties/c9b90676e970aed36ee9ac881b4938ad_images.jpg,3.4,990
Dresses,Yellow,Casual,Doodle Girls Yellow Dress,http://assets.myntassets.com/v1/images/style/properties/Doodle-Girls-Yellow-Dress_8deb5a4ffd0f960318c595c64649e65c_images.jpg,5.0,3682
Tops,Navy Blue,Casual,Doodle Girls Striped Navy Blue Top,http://assets.myntassets.com/v1/images/style/properties/91bfde5c15c1f69dcbf3877ddc16bf82_images.jpg,3.4,3007
Dresses,Blue,Casual,Doodle Girls Blue Printed Dress,http://assets.myntassets.com/v1/images/style/properties/Doodle-Girls-Blue-Printed-Dress_d8d2067641e308fdfeb691f73e63aed3_images.jpg,4.9,2766
Tops,White,Casual,Disney Kids Girl's White Kidswear,http://assets.myntassets.com/v1/images/style/properties/d2c388bcd6a795e0d0cea56392d352a6_images.jpg,3.4,1084
Tops,Green,Casual,Gini and Jony Girls Printed Green Top,http://assets.myntassets.com/v1/images/style/properties/59c6bb73f4e4d48f1ab3535dd19c3f14_images.jpg,4.4,4500
Shorts,Purple,Casual,Gini and Jony Girls Core Purple Shorts,http://assets.myntassets.com/v1/images/style/properties/c8a5e7314bab3b9557c09077fcd28112_images.jpg,4.9,2576
Tops,Blue,Casual,Hannah Montana Girls Blue Top,http://assets.myntassets.com/v1/images/style/properties/a6db21353e23f1fcd9230a9308038dca_images.jpg,3.1,1884
Tops,White,Casual,Disney Kids Girl's Minnie Summer Time White Top,http://assets.myntassets.com/v1/images/style/properties/bc8360dec974f453c41d9818a8cbd4f9_images.jpg,4.6,1968
Tops,Green,Casual,Doodle Kids Girls Ballon Green Top,http://assets.myntassets.com/v1/images/style/properties/f1dbb13abb1efd3ba19bd4108f1a6703_images.jpg,3.7,2894
Tshirts,White,Casual,United Colors of Benetton Girls White Printed T-Shirt,http://assets.myntassets.com/v1/images/style/properties/United-Colors-of-Benetton-Men-Green-T-shirt_1083afbe36b19d3a270f97f5b57ed5e2_images.jpg,4.9,552
Tops,Off White,Casual,Hannah Montana Girls Off White Tops,http://assets.myntassets.com/v1/images/style/properties/45bffb644f5f63cc6a14092ee3b37692_images.jpg,4.3,2753
Shorts,Blue,Casual,Doodle Girls Washed Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/030d8f6b24daa2333909397555a276ef_images.jpg,3.6,570
Tops,Black,Casual,Doodle Kids Girls Black Layer Top,http://assets.myntassets.com/v1/images/style/properties/Doodle-Kids-Girls-Black-Layer-Top_dcc17daa6b5346d3c6256506953772b1_images.jpg,4.9,3603
Tops,Blue,Casual,Doodle Girls Printed Blue Top,http://assets.myntassets.com/v1/images/style/properties/4ad10fcc757363792980154c94fb4e17_images.jpg,3.7,2022
Capris,Pink,Casual,Gini and Jony Girls Fixed Weast Pink Capris,http://assets.myntassets.com/v1/images/style/properties/509bae28bc1f7d726f86a7f55bb393f8_images.jpg,3.5,2262
Tops,Navy Blue,Casual,Gini and Jony Girls Nautical Blues Navy Blue Top,http://assets.myntassets.com/v1/images/style/properties/6d9bccab9b0814c55206caa05dd074e2_images.jpg,3.7,3913
Tops,Red,Casual,United Colors of Benetton Kids Girls Red Printed Top,http://assets.myntassets.com/v1/images/style/properties/be3dff48542779025a9ea8e36626d363_images.jpg,4.5,4249
Dresses,Blue,Casual,Doodle Girls Blue Printed Dress,http://assets.myntassets.com/v1/images/style/properties/abb64251bc6bf52e4a3b855bc4edb4dd_images.jpg,4.9,1969
Tops,Red,Casual,Doodle Girls Printed Red Top,http://assets.myntassets.com/v1/images/style/properties/a85afef861225e35fc17f1a48ce9d7e8_images.jpg,3.7,2590
Tops,Pink,Casual,Gini and Jony Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/08fa3521eedcbeb9f87cf0c96a312681_images.jpg,4.0,3808
Tops,Yellow,Casual,Disney Kids Girl's Yellow Daisy Kidswear,http://assets.myntassets.com/v1/images/style/properties/9f0369e7d1bb5beabf1071dcd6f15867_images.jpg,3.1,895
Tops,White,Casual,Gini and Jony Girls Printed White Top,http://assets.myntassets.com/v1/images/style/properties/3fd274b944ca2c73d22a3916686de876_images.jpg,4.6,2658
Tops,Pink,Casual,Disney Kids Girl's Pink Pooh Kidswear,http://assets.myntassets.com/v1/images/style/properties/9dfcd501502405f6befacbefbc8bec12_images.jpg,4.1,4046
Shorts,Blue,Casual,Doodle Girls Washed Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/41bea3c2c6b87a4cc6b32ef3c0328cc5_images.jpg,3.9,2858
Tops,White,Casual,Mr. Men Little Miss Girls White Tops,http://assets.myntassets.com/v1/images/style/properties/f7d7c0aa100e4e175868f5e79fad6d0c_images.jpg,4.8,4471
Tops,Blue,Casual,Gini and Jony Girls Summer Up Blue Top,http://assets.myntassets.com/v1/images/style/properties/48003adac2550efb3d1924592f80008e_images.jpg,3.5,1676
Rompers,Green,Casual,Madagascar3 Infant Boys Light Green Snapsuit Romper,http://assets.myntassets.com/v1/images/style/properties/d60008aa386eb463ba3e288f9ae144bb_images.jpg,3.2,2682
Capris,Navy Blue,Casual,Gini and Jony Girls Navy Blue Capris,http://assets.myntassets.com/v1/images/style/properties/08725f44217a792b713569b41589af67_images.jpg,3.7,2243
Tops,Red,Casual,Disney Kids Girl's Red Round Neck Kidswear,http://assets.myntassets.com/v1/images/style/properties/f8e9d4b05e862f363784a8921bb44049_images.jpg,4.9,3701
Tops,Black,Casual,Gini Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/d8a787ba8bd327287a4c69fd2d0694ba_images.jpg,3.1,1719
Tops,Pink,Casual,United Colors of Benetton Kids Girls Pink Printed Top,http://assets.myntassets.com/v1/images/style/properties/6e3231084adf839cd0d0259b6b0cc4f7_images.jpg,4.4,1515
Capris,White,Casual,Gini and Jony Girls White Pedal Pusher,http://assets.myntassets.com/v1/images/style/properties/4247c4e2995d8c399e41a03d39067a56_images.jpg,3.6,3983
Dresses,White,Casual,Disney Kids Girl's White Dress Pooh Kidswear,http://assets.myntassets.com/v1/images/style/properties/43bebe24a5aeacfbef2201f0ba264fc4_images.jpg,4.0,1879
Tops,Red,Casual,Disney Kids Girl's Red Kidswear,http://assets.myntassets.com/v1/images/style/properties/35e3b397144b0e2f810be458cea913bc_images.jpg,3.7,1450
Shorts,Purple,Casual,Gini and Jony Girls Core Purple Shorts,http://assets.myntassets.com/v1/images/style/properties/da87d030dd2cc9003e67e29841a8b525_images.jpg,4.1,2907
Innerwear Vests,Green,Casual,Madagascar Girls Green Innerwear Vest,http://assets.myntassets.com/v1/images/style/properties/51bb3815d90a782bd22194ceb30d4232_images.jpg,4.4,1751
Tops,Pink,Casual,Hannah Montana Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/ca791a4fd15edf47eec63b406a8058d4_images.jpg,4.2,2722
Shorts,Black,Casual,Doodle Girls Washed Black Shorts,http://assets.myntassets.com/v1/images/style/properties/e03bf84f412447b3f2a424bbf4fc8a70_images.jpg,4.3,3643
Tops,Black,Casual,Doodle Kids Girls Black Layer Top,http://assets.myntassets.com/v1/images/style/properties/a0742e0ff38488bb96e5f971d402ec43_images.jpg,3.9,859
Lehenga_Choli,Pink,Ethnic,Fabindia Girls Printed Pink Lehenga_Choli,http://assets.myntassets.com/v1/images/style/properties/fefa355936f77e25a46b1a31c81c196d_images.jpg,4.6,2299
Tops,Peach,Casual,Gini and Jony Girls Printed Peach Top,http://assets.myntassets.com/v1/images/style/properties/99a915b2447ea8435c2fb3ace15e6669_images.jpg,4.3,864
Tops,White,Casual,Gini and Jony Girls Printed White Top,http://assets.myntassets.com/v1/images/style/properties/c14e81ba38e2b61da5e76b91c23e6a33_images.jpg,4.8,2449
Shorts,Magenta,Casual,Gini and Jony Girls Core Magenta Shorts,http://assets.myntassets.com/v1/images/style/properties/6b2494c2fed66789745ba1740110981b_images.jpg,3.4,4330
Dresses,Grey,Casual,Ant Kids Girl's Sleeveless With Flower Print Kidswear,http://assets.myntassets.com/v1/images/style/properties/0f3fde0541471c4ce29052eb40ed4d5d_images.jpg,3.7,4024
Tshirts,Pink,Casual,Disney Kids Girl's Minnie Summer Time Pink Top,http://assets.myntassets.com/v1/images/style/properties/7331e5fb7516a0b01479629fc1947db6_images.jpg,3.2,2301
Tops,Pink,Casual,Hannah Montana Girls Pink Printed Top,http://assets.myntassets.com/v1/images/style/properties/1e362eb632a23a34570c7bf9833aa1e4_images.jpg,3.3,2614
Tops,White,Casual,Gini and Jony Girls Printed White Top,http://assets.myntassets.com/v1/images/style/properties/1b74ee8cea9c97c3302fc04953e457c4_images.jpg,3.2,2035
Tops,Pink,Casual,Gini and Jony Girls Kitch Peachy Pink Top,http://assets.myntassets.com/v1/images/style/properties/c854d58e3ffe365a40a5ea7e4d2352c1_images.jpg,3.0,1432
Tops,Black,Casual,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/790803c7032789165bb07eab1e4a5883_images.jpg,4.0,578
Tops,Magenta,Casual,Gini and Jony Girls Purple Top,http://assets.myntassets.com/v1/images/style/properties/a31431e54b7f79cc55448b6857f83683_images.jpg,3.3,3394
Leggings,Black,Casual,Gini and Jony Girls Black Leggings,http://assets.myntassets.com/v1/images/style/properties/9bf1aebf2274360597b9f5e9774d44d7_images.jpg,4.6,2726
Shorts,Pink,Casual,Gini and Jony Girls Pink Shorts,http://assets.myntassets.com/v1/images/style/properties/cb4e82452fa4114624b35526f46992ee_images.jpg,4.0,2607
Leggings,Pink,Casual,Gini and Jony Girls Pink Leggings,http://assets.myntassets.com/v1/images/style/properties/c4ce324d240cf5a5acb89c3580fe26e0_images.jpg,3.5,3043
Leggings,Pink,Casual,Gini and Jony Girls Pink Leggings,http://assets.myntassets.com/v1/images/style/properties/26f973eed1520b7c7a843068aed85a9a_images.jpg,3.7,1230
Tops,Yellow,Casual,Doodle Girls Printed Yellow Top,http://assets.myntassets.com/v1/images/style/properties/0a872ce74f02f71e0bdbe8166508539c_images.jpg,4.8,2106
Tops,Black,Casual,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/710a42376524dbe89087b2b12c56a9ce_images.jpg,4.6,1919
Tshirts,Green,Casual,Gini and Jony Girls Polo Striped Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/d7366ac87251ef00ae7c3033568abdbc_images.jpg,4.3,3860
Tops,Red,Casual,Mr. Men Little Miss Girls Red Printed Top,http://assets.myntassets.com/v1/images/style/properties/49bff522d3a8f446c29f4012eed556ca_images.jpg,3.1,2725
